section_id,article_id,article_title,section_path,heading,level,bert_umap1,bert_umap2,base_value_mean,base_value_std,base_n_runs,base_value_pctile,base_variance_pctile,instruct_value_mean,instruct_value_std,instruct_n_runs,instruct_value_pctile,instruct_variance_pctile
2125,8127,Post-classical history,Global trends > Growth of civilization,Growth of civilization,3,7.7380323,0.75407064,22.89488357910645,7.281216103386353,2,0.29285714285714287,0.0962406015037594,-10.156282464635568,11.218888969119984,3,0.06917293233082707,0.14511278195488722
2126,8127,Post-classical history,Global trends > Spread of universal religions,Spread of universal religions,3,6.906577,3.078844,57.55945088305138,40.99678400880857,2,0.530827067669173,0.4981203007518797,42.09792453183632,16.36567109561806,3,0.5842105263157895,0.2507518796992481
2127,8127,Post-classical history,Global trends > Trade and communication,Trade and communication,3,7.4962473,0.5464166,56.98437776874853,41.50583484704837,2,0.5263157894736842,0.5022556390977444,22.976832138160507,20.348230499084686,3,0.36428571428571427,0.32781954887218046
2128,8127,Post-classical history,Global trends > Climate,Climate,3,2.9484897,2.8725607,87.92871877875645,86.6505208002781,2,0.7030075187969925,0.8030075187969925,26.4811196207235,11.645349652399988,3,0.4026315789473684,0.15300751879699248
2129,8127,Post-classical history,Global trends > Timeline,Timeline,3,8.063263,1.053735,-30.21103202136429,23.33867110323164,2,0.0868421052631579,0.3030075187969925,111.9471912969874,29.51652457513509,3,0.9206766917293233,0.47218045112781953
2130,8127,Post-classical history,Eurasian trends,Eurasian trends,2,7.7612224,1.0282102,262.8127091373565,37.04919541340123,2,0.9766917293233083,0.456015037593985,172.78646964593418,88.27404273775356,3,0.9808270676691729,0.893984962406015
2131,8127,Post-classical history,Eurasian trends > Feudalism,Feudalism,3,8.206284,0.45928854,52.94030286609916,21.117524415686347,2,0.5022556390977444,0.2721804511278195,16.38386836572093,8.541613406306563,3,0.27706766917293235,0.09699248120300752
2132,8127,Post-classical history,Eurasian trends > Mongol Empire,Mongol Empire,3,7.818293,0.5508851,38.56961855924054,6.992381493190204,2,0.4030075187969925,0.09323308270676692,31.083614621666204,4.123367494167305,3,0.46090225563909776,0.02744360902255639
2133,8127,Post-classical history,Eurasian trends > Silk Road,Silk Road,3,7.508348,0.5211044,70.23151898387826,20.5380088595126,2,0.619172932330827,0.262406015037594,45.25186520858642,21.0896050491929,3,0.6161654135338346,0.3394736842105263
2134,8127,Post-classical history,Eurasian trends > Plague and disease,Plague and disease,3,7.621271,0.7467702,110.60605887170475,33.8969233877669,2,0.7958646616541354,0.42781954887218043,75.72191242292895,31.619263452047885,3,0.8142857142857143,0.5071428571428571
2135,8127,Post-classical history,Eurasian trends > Plague and disease > The first plague,The first plague,4,7.635648,0.76128775,69.53942956993019,81.39349943209658,2,0.612406015037594,0.780827067669173,5.9322397826326565,54.84168841819686,3,0.16390977443609023,0.7443609022556391
